author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
PIONEER;developer;https://www.cian.ru/sale/flat/303709179/;Москва;sale;flat;9;22;1;31.0;16667801;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/303358076/;Москва;sale;flat;10;14;2;55.0;15950000;Братеево;Паромная ;7К3;Алма-Атинская;
VOS HOD;developer;https://www.cian.ru/sale/flat/300560439/;Москва;sale;flat;8;17;2;71.8;43991860;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/301355208/;Москва;sale;flat;6;6;2;145.5;158378399;Якиманка; Большая Полянка;61С2;Добрынинская;
MR Group;developer;https://www.cian.ru/sale/flat/302792284/;Москва;sale;flat;7;13;1;94.3;156589865;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303296300/;Москва;sale;flat;38;68;2;72.5;78000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Основа;developer;https://www.cian.ru/sale/flat/301042098/;Москва;sale;flat;3;20;2;50.85;16188738;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
Дмитрий Воронин;realtor;https://www.cian.ru/sale/flat/304297549/;Москва;sale;flat;7;15;2;51.6;16400000;; Василия Ощепкова;4;Коммунарка;Москвичка
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/300921483/;Москва;sale;flat;2;19;2;62.8;25170240;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/301716912/;Москва;sale;flat;48;64;2;104.0;88000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Forma;developer;https://www.cian.ru/sale/flat/300887190/;Москва;sale;flat;4;27;2;64.0;27504000;Аэропорт;Часовая ;28к8;Сокол;SOUL
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330132/;Москва;sale;flat;7;15;2;120.0;149500000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
Tekta Group;developer;https://www.cian.ru/sale/flat/303224347/;Москва;sale;flat;29;34;1;30.0;17388000;Обручевский;;;Воронцовская;Эвер ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/301404169/;Москва;sale;flat;3;14;2;44.0;36500000;Раменки;проспект Генерала Дорохова;39к1Б;Минская;Собрание клубных домов West Garden
MR Group;developer;https://www.cian.ru/sale/flat/303861528/;Москва;sale;flat;5;54;1;36.38;21647013;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301362196/;Москва;sale;flat;3;15;1;65.0;61000000;Раменки;Мосфильмовская ;31А;Ломоносовский проспект;KING & SONS
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380294/;Москва;sale;flat;4;19;2;62.1;25895700;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/303790635/;Москва;sale;flat;10;15;1;38.3;8950000;Крюково;Зеленоград;к2033;Зеленоград — Крюково;
MR Group;developer;https://www.cian.ru/sale/flat/303451581/;Москва;sale;flat;11;29;2;55.8;21011728;Южнопортовый;Волгоградский проспект;32/3к4;Дубровка;Метрополия
Unique;real_estate_agent;https://www.cian.ru/sale/flat/303783084/;Москва;sale;flat;6;9;2;60.0;17500000;; Ясеневая;1к1;Ольховая;
MR Group;developer;https://www.cian.ru/sale/flat/301223453/;Москва;sale;flat;2;39;2;60.57;21980883;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779311/;Москва;sale;flat;3;25;2;43.2;19900000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040427/;Москва;sale;flat;4;6;1;51.2;57190400;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303589233/;Москва;sale;flat;8;18;2;84.0;62750000;Тверской; Александра Невского;27;Белорусская;
Hutton Development;developer;https://www.cian.ru/sale/flat/304286459/;Москва;sale;flat;2;6;1;48.3;95634000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299107582/;Москва;sale;flat;5;6;2;94.0;111110000;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
Tekta Group;developer;https://www.cian.ru/sale/flat/303506233/;Москва;sale;flat;8;28;1;39.7;17789570;Нагорный;;1;Нагорная;Твелв ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280116651/;Москва;sale;flat;62;77;2;111.0;149000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298849163/;Москва;sale;flat;3;10;1;45.5;23596300;;;В14 кв-л;Павшино;Сберсити ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/300577056/;Москва;sale;flat;35;78;2;83.0;63000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065733/;Москва;sale;flat;9;18;1;49.8;55526000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300350306/;Москва;sale;flat;2;22;2;72.5;31499000;Филевский парк;Береговой проезд;5к3;Фили;Фили Град
СИТИ21;developer;https://www.cian.ru/sale/flat/296066521/;Москва;sale;flat;13;15;2;111.0;56181964;Останкинский;проспект Мира;95;Алексеевская;Hill8
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302999320/;Москва;sale;flat;4;8;2;69.8;60271779;Хамовники;Смоленский бульвар;22/14;Смоленская;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/301919439/;Москва;sale;flat;2;10;1;42.4;18020000;;;В17 кв-л;Опалиха;Сберсити ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380827/;Москва;sale;flat;2;6;2;107.0;161897919;Таганский;Серебряническая набережная;19;Чкаловская;АртХаус
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/300423805/;Москва;sale;flat;2;13;1;56.19;26499204;;;В21 кв-л;Опалиха;Сберсити ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/292945866/;Москва;sale;flat;5;15;2;57.4;33000000;Якиманка; Шаболовка;23к2;Шаболовская;Созвездие Капитал-1
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/291868741/;Москва;sale;flat;3;13;1;54.02;30299818;;;В20 кв-л;Павшино;Сберсити ЖК
Биржа-Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/304425813/;Москва;sale;flat;4;18;2;108.3;45500000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299137613/;Москва;sale;flat;4;12;1;45.87;23045088;;;В19 кв-л;Павшино;Сберсити ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/296060335/;Москва;sale;flat;51;53;2;37.4;19500000;Очаково-Матвеевское;;к1;Мичуринский проспект;Левел Мичуринский ЖК
Основа;developer;https://www.cian.ru/sale/flat/293623772/;Москва;sale;flat;6;28;1;43.5;17182500;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302837942/;Москва;sale;flat;8;18;2;84.0;62750000;Тверской; Александра Невского;27;Белорусская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/302795522/;Москва;sale;flat;2;20;2;36.0;13795200;Головинский;Михалковская ;48С4;Коптево;Михалковский
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380842/;Москва;sale;flat;33;73;2;103.0;110000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Пионер;developer;https://www.cian.ru/sale/flat/301459957/;Москва;sale;flat;4;11;1;56.1;52874642;Даниловский;;;Павелецкая;Опус ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/304229312/;Москва;sale;flat;5;24;2;54.7;18500000;Обручевский; Обручева;5А;Новаторская;
Группа Родина;developer;https://www.cian.ru/sale/flat/304600202/;Москва;sale;flat;5;14;2;41.0;21827500;Можайский;;;Давыдково;Родина Парк ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/290001136/;Москва;sale;flat;2;6;2;75.0;84750000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
MR Group;developer;https://www.cian.ru/sale/flat/276155299/;Москва;sale;flat;3;57;1;42.77;24617001;Филевский парк;;;Фили;Фили Сити ЖК
Артем Ченцов;realtor;https://www.cian.ru/sale/flat/302772342/;Москва;sale;flat;9;30;2;49.8;26000000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
FORMA;developer;https://www.cian.ru/sale/flat/301158303/;Москва;sale;flat;18;26;1;40.93;40696617;Пресненский;к2.2;к2.2;Белорусская;Репаблик ЖК
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9700000;Гольяново;Уральская ;1;Щёлковская;
КОРТРОС;developer;https://www.cian.ru/sale/flat/289743607/;Москва;sale;flat;33;41;2;66.47;32756416;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301520504/;Москва;sale;flat;2;21;2;116.0;142000000;Пресненский; Костикова;4к3;Улица 1905 года;Lucky
Стадион Спартак;developer;https://www.cian.ru/sale/flat/292442347/;Москва;sale;flat;3;13;1;45.4;23081360;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301628710/;Москва;sale;flat;2;5;2;75.1;84500000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040538/;Москва;sale;flat;5;8;1;48.3;36852900;Замоскворечье;Шлюзовая набережная;2/1С1;Павелецкая;Элитный жилой комплекс 
Алина Валиуллина;realtor;https://www.cian.ru/sale/flat/304000697/;Москва;sale;flat;5;12;2;52.0;28900000;Мещанский;переулок Васнецова;3;Цветной бульвар;
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/304087556/;Москва;sale;flat;7;15;2;40.8;24984579;Раменки;Винницкая ;8к3;Раменки;Настоящее
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303345756/;Москва;sale;flat;4;8;2;59.0;42000000;Пресненский;Большая Садовая ;1;Маяковская;
COLDY;developer;https://www.cian.ru/sale/flat/303330139/;Москва;sale;flat;2;15;1;35.27;28877924;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304533287/;Москва;sale;flat;8;19;2;73.4;46000000;Хорошево-Мневники;Шелепихинская набережная;34к2зд3;Шелепиха;Сердце Столицы
COLDY;developer;https://www.cian.ru/sale/flat/297997304/;Москва;sale;flat;2;14;1;101.91;183834633;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300015723/;Москва;sale;flat;20;39;2;64.0;37000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/304455364/;Москва;sale;flat;7;27;1;44.8;21504000;Басманный; Фридриха Энгельса;56;Бауманская;Премиум-квартал 
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299723346/;Москва;sale;flat;63;66;1;86.0;90000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Regions Development;developer;https://www.cian.ru/sale/flat/304060672/;Москва;sale;flat;2;23;1;57.5;;Нагатинский затон;проспект Андропова;9/1;Технопарк;Dream Towers
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304224403/;Москва;sale;flat;1;19;2;94.2;67000000;Хорошево-Мневники;Шелепихинская набережная;34к2зд3;Шелепиха;Сердце Столицы
Capital Group;developer;https://www.cian.ru/sale/flat/288136857/;Москва;sale;flat;59;85;2;80.6;65812208;Пресненский;1-й Красногвардейский проезд;21с2;Москва-Сити;МФК ОКО
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304132271/;Москва;sale;flat;11;43;2;67.1;33000000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
Sminex;developer;https://www.cian.ru/sale/flat/304423664/;Москва;sale;flat;22;23;1;298.3;448200000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/303476285/;Москва;sale;flat;9;29;2;68.1;40000000;Хорошево-Мневники;Шелепихинская набережная;34к4;Шелепиха;Сердце Столицы
GloraX;developer;https://www.cian.ru/sale/flat/303477025/;Москва;sale;flat;4;21;1;53.11;29079999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
ЖИR Private;real_estate_agent;https://www.cian.ru/sale/flat/304047792/;Москва;sale;flat;13;24;1;42.0;11000000;Люблино;Люблинская ;76к4;Перерва;Люблинский парк
Пионер;developer;https://www.cian.ru/sale/flat/301460115/;Москва;sale;flat;6;26;1;24.4;19219054;Даниловский;;;Павелецкая;Хай Лайф ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/300032614/;Москва;sale;flat;2;9;2;46.0;10300000;Текстильщики;Грайвороновская ;18К3;Текстильщики;
Forma;developer;https://www.cian.ru/sale/flat/303666807/;Москва;sale;flat;7;25;2;69.3;29650420;Печатники;Южнопортовая ;;Печатники;Portland
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302998801/;Москва;sale;flat;9;9;2;46.0;27600000;Хамовники;3-я Фрунзенская ;17;Спортивная;
Sminex;developer;https://www.cian.ru/sale/flat/303125654/;Москва;sale;flat;8;14;1;44.6;26190000;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
Дмитрий Аристов;realtor;https://www.cian.ru/sale/flat/304489052/;Москва;sale;flat;10;17;1;40.0;13750000;Северное Медведково;Полярная ;52К1;Медведково;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298576242/;Москва;sale;flat;15;22;2;38.4;29255040;Красносельский;Большая Спасская ;35;Площадь трёх вокзалов;Dialog
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303779112/;Москва;sale;flat;16;17;1;38.2;9400000;Орехово-Борисово Южное;Гурьевский проезд;31К2;Зябликово;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370745/;Москва;sale;flat;2;6;1;39.0;19500000;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303149151/;Москва;sale;flat;9;10;2;82.0;80000000;Хамовники;Ружейный переулок;3;Смоленская;Смоленская Застава
MR Group;developer;https://www.cian.ru/sale/flat/303541823/;Москва;sale;flat;18;44;1;41.34;21971194;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304233063/;Москва;sale;flat;3;22;2;60.8;23000000;Хорошево-Мневники;3-я Хорошевская ;17А;Зорге;Вереск
Upside Development;developer;https://www.cian.ru/sale/flat/303215964/;Москва;sale;flat;11;12;1;46.2;28644000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/302590858/;Москва;sale;flat;3;8;2;59.3;48800000;Даниловский;Хавская ;9;Шаболовская;Residence Hall Шаболовский
Мангазея;developer;https://www.cian.ru/sale/flat/304059533/;Москва;sale;flat;3;41;2;72.5;29819250;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/303397064/;Москва;sale;flat;30;41;2;57.0;29500000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/304095566/;Москва;sale;flat;2;49;2;67.2;29749440;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/sale/flat/298381402/;Москва;sale;flat;8;21;2;51.0;45000000;Пресненский;набережная Пресненская;10с2;Деловой центр;МФК IQ-квартал
КРОСТ;developer;https://www.cian.ru/sale/flat/296745539/;Москва;sale;flat;21;28;1;36.9;18117900;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/302301195/;Москва;sale;flat;3;18;2;48.0;31990000;Раменки; Янковского;1к2;Аминьевская;Событие
Основа;developer;https://www.cian.ru/sale/flat/286347121/;Москва;sale;flat;2;29;2;45.7;14422920;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299568402/;Москва;sale;flat;4;23;2;70.0;44990000;Хорошевский;9Ак1;9Ак1;Зорге;Зорге 9 ЖК
Level Group;developer;https://www.cian.ru/sale/flat/301556999/;Москва;sale;flat;29;31;2;40.2;;Западное Дегунино;Северный ао;к3;Верхние Лихоборы;Левел Селигерская ЖК
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/303275971/;Москва;sale;flat;3;13;2;65.6;49800000;Пресненский;Большая Садовая ;5к1;Маяковская;Квартал апартаментов Сады Пекина
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/299661848/;Москва;sale;flat;2;14;2;57.0;28160045;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Eightmix Property;real_estate_agent;https://www.cian.ru/sale/flat/303006952/;Москва;sale;flat;12;22;2;92.1;45000000;Раменки; Пырьева;9к2;Поклонная;
Группа Родина;developer;https://www.cian.ru/sale/flat/285606689/;Москва;sale;flat;2;23;1;43.8;23195000;Ростокино;;к2;Ботанический сад;Союз ЖК
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304266116/;Москва;sale;flat;9;27;2;72.8;25800000;Даниловский;2-я оч.;к4.1;ЗИЛ;Shagal
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/302037458/;Москва;sale;flat;2;46;2;63.8;43657111;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304404688/;Москва;sale;flat;12;27;2;80.3;27900000;Даниловский;1-я оч.;к13;ЗИЛ;Shagal
Prime Life Development;developer;https://www.cian.ru/sale/flat/301781621/;Москва;sale;flat;12;25;1;40.2;23056412;Нагатино-Садовники;;;Нагатинская;Первый Нагатинский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042655/;Москва;sale;flat;37;79;1;78.0;80000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Regions Development;developer;https://www.cian.ru/sale/flat/304453281/;Москва;sale;flat;5;14;1;37.8;17518822;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304301310/;Москва;sale;flat;4;7;2;69.7;93446700;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
Sminex;developer;https://www.cian.ru/sale/flat/304094787/;Москва;sale;flat;3;9;1;51.4;54670000;Пресненский;Электрический переулок;1с22;Белорусская;Квартал Тишинский бульвар
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302214446/;Москва;sale;flat;28;45;2;77.1;37400000;Хорошево-Мневники;;;Шелепиха;Сидней Сити ЖК
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304453140/;Москва;sale;flat;49;66;1;44.6;49060000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006052/;Москва;sale;flat;2;5;2;103.0;149980000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
Level Group;developer;https://www.cian.ru/sale/flat/303453829/;Москва;sale;flat;2;37;2;37.4;;Нижегородский;;3;Нижегородская;Левел Нижегородская ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302375319/;Москва;sale;flat;4;7;1;36.8;8500000;;;;Санино;Квартал Западный ЖК
Capital Group;developer;https://www.cian.ru/sale/flat/301712489/;Москва;sale;flat;28;67;2;72.8;70000000;Пресненский;;;Москва-Сити;Capital Towers
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303637932/;Москва;sale;flat;8;28;2;61.6;30000000;Раменки;Винницкая ;8к4;Раменки;Настоящее
КОРТРОС;developer;https://www.cian.ru/sale/flat/298603750/;Москва;sale;flat;21;26;2;45.3;21517500;Останкинский;;;ВДНХ;АйЛав ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301593908/;Москва;sale;flat;7;15;1;37.0;7600000;;;;Коммунарка;Деснаречье ЖК
St Michael;developer;https://www.cian.ru/sale/flat/303024911/;Москва;sale;flat;16;21;2;58.28;25323650;Хорошевский;9Ак7;9Ак7;Полежаевская;Зорге 9 ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302451182/;Москва;sale;flat;5;15;2;38.64;8800000;;;к2;Мещерская;Движение. Говорово ЖК
Level Group;developer;https://www.cian.ru/sale/flat/298671589/;Москва;sale;flat;3;17;2;39.8;;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300479650/;Москва;sale;flat;12;26;2;45.3;27000000;Покровское-Стрешнево;Летная ;95Бк2;Спартак;ÁLIA
Главстрой;developer;https://www.cian.ru/sale/flat/296871994/;Москва;sale;flat;13;30;2;38.2;12888832;Рязанский;Рязанский проспект;;Окская;balance
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301381513/;Москва;sale;flat;2;16;1;31.0;7650000;;;к18-19;Бунинская аллея;Эко Бунино ЖК
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/304095088/;Москва;sale;flat;2;27;2;55.8;23486220;Лефортово;;;Римская;Символ ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301194318/;Москва;sale;flat;16;17;2;37.7;9290000;;;к10-11;Бунинская аллея;Эко Бунино ЖК
MR Group;developer;https://www.cian.ru/sale/flat/303135248/;Москва;sale;flat;3;48;1;32.0;14014178;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302939791/;Москва;sale;flat;6;7;1;33.05;8500000;;;;Санино;Квартал Западный ЖК
Sminex;developer;https://www.cian.ru/sale/flat/303262675/;Москва;sale;flat;20;26;1;35.93;21290000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302961802/;Москва;sale;flat;12;21;1;37.3;9250000;;;;Бунинская аллея;Бунинские кварталы
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/301301828/;Москва;sale;flat;3;26;1;37.6;14073680;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/291208109/;Москва;sale;flat;6;7;2;94.0;130000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;Литератор
Level Group;developer;https://www.cian.ru/sale/flat/301565134/;Москва;sale;flat;11;23;2;34.9;;Печатники;;13;Кожуховская;Левел Южнопортовая ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303207257/;Москва;sale;flat;13;21;2;70.0;35500000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Sminex;developer;https://www.cian.ru/sale/flat/294328835/;Москва;sale;flat;3;6;1;78.7;163160000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300373373/;Москва;sale;flat;9;23;2;68.4;32500000;Хорошево-Мневники;Жилой комплекс остров;2-й кв-л;Терехово ;Остров
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302223488/;Москва;sale;flat;54;57;1;36.2;18060180;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
;;https://www.cian.ru/sale/flat/304413161/;Москва;sale;flat;1;4;2;53.8;9250000;Фили-Давыдково; Алексея Свиридова;1;Кунцевская;
Пионер;developer;https://www.cian.ru/sale/flat/301514338/;Москва;sale;flat;3;25;1;38.65;17205027;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/302591225/;Москва;sale;flat;9;28;1;34.7;14800000;Богородское;Открытое шоссе;14Д;Бульвар Рокоссовского;Талисман на Рокоссовского
Основа;developer;https://www.cian.ru/sale/flat/293007189/;Москва;sale;flat;4;36;2;37.9;10687800;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/303375655/;Москва;sale;flat;10;12;1;38.0;15950000;КРАСИВАЯ квартира в шикарном е1-комн. квартира;38 м²;;;
Донстрой;developer;https://www.cian.ru/sale/flat/304095698/;Москва;sale;flat;2;16;1;54.7;42086180;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
ID 56226475;homeowner;https://www.cian.ru/sale/flat/303735220/;Москва;sale;flat;20;25;2;55.4;13699999;Люблино;Юго-Восточный ао;к3;Перерва;Светлый Мир Станция Л ЖК
TOUCH;developer;https://www.cian.ru/sale/flat/302838439/;Москва;sale;flat;2;13;1;40.02;22691340;Южнопортовый;;к3;Дубровка;Шампайн ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/303527409/;Москва;sale;flat;3;18;1;30.6;10500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Трансстройинвест;developer;https://www.cian.ru/sale/flat/299589652/;Москва;sale;flat;2;24;1;43.5;17768630;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302398147/;Москва;sale;flat;15;25;1;39.6;17900000;Даниловский;1-я оч.;к13;Технопарк;Shagal
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/302013644/;Москва;sale;flat;3;9;2;54.3;12885390;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304381590/;Москва;sale;flat;15;36;2;60.0;28900000;Пресненский;Мукомольный проезд;2;Шелепиха;
Level Group;developer;https://www.cian.ru/sale/flat/301555238/;Москва;sale;flat;13;24;2;45.6;;Покровское-Стрешнево;Северо-Западный ао;;Тушинская;Левел Стрешнево ЖК
